d,λ,t
0.18036311514572384,19.889167812643887,0.36824774048903525
0.1823690049496501,46.10972656262322,0.35557784616677346
0.4056140350877193,37.71123979984533,0.595703795209663
0.28520969788416034,80.24754688943179,0.4797898838442378
0.8768197088465846,84.71888213681696,0.926416354768158
0.7006409450798039,161.77374545755393,0.7956264843562567
0.5254946727549468,44.57660543942445,0.7344813908904607
0.9119714687424986,221.54884038328322,0.9280472180381908
0.9080774786119032,371.80647881854156,0.941848321826503
0.8110688446334005,269.3880186270104,0.8397527914407492
0.11808204634396256,65.6009596341242,0.23590263303822398
0.10915367441511416,41.23160503252558,0.44442135612150807
